,match_x_x,bowlingTeam,bowlerName,overs,maiden,runs_x,wickets,economy,0s,4s_x,6s_x,wides,noBalls,match_id,winner_x,margin_x,matchDate_x,match_x_y,teamInnings,battingPos,batsmanName,runs_y,balls,4s_y,6s_y,SR,out/not_out,winner_y,margin_y,matchDate_y
0,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,3,6,0,0,50,out,Namibia,55 runs,"Oct 16, 2022"
1,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,9,9,1,0,100,out,Namibia,55 runs,"Oct 16, 2022"
2,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,out,Namibia,55 runs,"Oct 16, 2022"
3,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,26,24,2,0,108.33,out,Namibia,55 runs,"Oct 16, 2022"
4,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),20,24,0,0,83.33,out,Namibia,55 runs,"Oct 16, 2022"
5,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,44,28,4,0,157.14,out,Namibia,55 runs,"Oct 16, 2022"
6,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,7,David Wiese,0,1,0,0,0,out,Namibia,55 runs,"Oct 16, 2022"
7,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,not_out,Namibia,55 runs,"Oct 16, 2022"
8,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90,out,Namibia,55 runs,"Oct 16, 2022"
9,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis,6,6,0,0,100,out,Namibia,55 runs,"Oct 16, 2022"
10,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,out,Namibia,55 runs,"Oct 16, 2022"
11,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0,out,Namibia,55 runs,"Oct 16, 2022"
12,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,out,Namibia,55 runs,"Oct 16, 2022"
13,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),29,23,2,1,126.08,out,Namibia,55 runs,"Oct 16, 2022"
14,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50,out,Namibia,55 runs,"Oct 16, 2022"
15,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823,Namibia,55 runs,"Oct 16, 2022",Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.5,out,Namibia,55 runs,"Oct 16, 2022"
