,match_x,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id,team1,team2,winner,margin,ground,matchDate,match_y
0,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,3,6,0,0,50,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
1,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,9,9,1,0,100,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
2,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
3,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,26,24,2,0,108.33,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
4,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),20,24,0,0,83.33,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
5,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,44,28,4,0,157.14,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
6,Namibia Vs Sri Lanka,Namibia,7,David Wiese,0,1,0,0,0,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
7,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,not_out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
8,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
9,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis,6,6,0,0,100,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
10,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
11,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
12,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
13,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),29,23,2,1,126.08,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
14,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
15,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.5,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
16,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,0,0,0,0,-,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
17,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,8,15,0,0,53.33,out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
18,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,11,11,0,1,100,not_out,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",NamibiavsSri Lanka
19,U.A.E. Vs Netherlands,U.A.E.,1,Chirag Suri,12,20,1,0,60,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
20,U.A.E. Vs Netherlands,U.A.E.,2,Muhammad Waseem,41,47,1,2,87.23,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
21,U.A.E. Vs Netherlands,U.A.E.,3,Kashif Daud,15,14,0,1,107.14,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
22,U.A.E. Vs Netherlands,U.A.E.,4,Vriitya Aravind,18,21,0,0,85.71,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
23,U.A.E. Vs Netherlands,U.A.E.,5,Zawar Farid,2,4,0,0,50,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
24,U.A.E. Vs Netherlands,U.A.E.,6,Basil Hameed,4,4,1,0,100,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
25,U.A.E. Vs Netherlands,U.A.E.,7,Chundangapoyil Rizwan(c),1,2,0,0,50,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
26,U.A.E. Vs Netherlands,U.A.E.,8,Aayan Afzal Khan,5,7,0,0,71.42,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
27,U.A.E. Vs Netherlands,U.A.E.,9,Karthik Meiyappan,0,0,0,0,-,not_out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
28,U.A.E. Vs Netherlands,U.A.E.,10,Junaid Siddique,0,1,0,0,0,not_out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
29,U.A.E. Vs Netherlands,Netherlands,1,Vikramjit Singh,10,7,2,0,142.85,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
30,U.A.E. Vs Netherlands,Netherlands,2,Max O'Dowd,23,18,3,1,127.77,out,T20I # 1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",NetherlandsvsU.A.E.
